id	document	label
8112052	어릴때보고 지금다시봐도 재밌어요ㅋㅋ	1
8132799	디자인을 배우는 학생으로, 외국디자이너와 그들이 일군 전통을 통해 발전해가는 문화산업이 부러웠는데. 사실 우리나라에서도 그 어려운시절에 끝까지 열정을 지킨 노라노 같은 전통이있어 저와 같은 사람들이 꿈을 꾸고 이뤄나갈 수 있다는 것에 감사합니다.	1
4655635	폴리스스토리 시리즈는 1부터 뉴까지 버릴께 하나도 없음.. 최고.	1
9251303	와.. 연기가 진짜 개쩔구나.. 지루할거라고 생각했는데 몰입해서 봤다.. 그래 이런게 진짜 영화지	1
10067386	안개 자욱한 밤하늘에 떠 있는 초승달 같은 영화.	1
2190435	사랑을 해본사람이라면 처음부터 끝까지 웃을수 있는영화	1
9279041	완전 감동입니다 다시봐도 감동	1
7865729	개들의 전쟁2 나오나요? 나오면 1빠로 보고 싶음	1
6981715	그 패러디 자주하는 명대사가 여기에서 나오는거였구나. 성당씬에서 너무 연기잘해줬네요 아 오랜만에 클래식 이후로 멜로영화보고 글썽거려보네.. 재미없을것 같았는데 제 기억속에 남는 영화 리스트에 올림..ㅠ	1
8906755	두 명배우, 시나리오까지, 최고	1
8677609	무막장유잼 오오오옹옹	1
4945585	나의 조그만 변화가 세상을 바꾸는 시초가 된다. 변하자. 내가 먼저	1
9932199	애잔하고 아련하고 마음속이 뜨거워지는 감동	1
4843319	그냥 내가 부치와선댄스가 된느낌? 여운도 있고 괜히 명작이라고 부르는게 아니었네~	1
10273019	하히카도기가호다리관다은	1
6823600	이 영화 중학교때 봤는데 배우들의 카리스마는 여전히 시대를 넘어 최고다	1
9678048	이 시절엔 그래픽이 없었으니까 초대형 블럭버스터다. 감독도 대단한 것 같다.	1
10251942	흐륵ㄱ륵규ㅠㅠ이나이에 이런걸 좋아하는게 문제가 아니라 너무재밌어요ㅠㅠㅠ흐허ㅓ초등학생인 동생들 졸라서 겨우봤지만..! 진짜 너무재밌다....!! 냥이젤리펀치는 사랑입니다	1
9589574	제인 에어와 로체스터, 딱 그 느낌이다.	1
6483655	이런건 꼭봐라	1
4083710	무슨영화인지 보진않았다 4분??ㄷㄷ 걍10점주고감 첫번째로 평점줘보긴 첨이네ㅋㅋ	1
8847678	또 볼거다. 그리고 키이라는 역시 매력녀b	1
3021176	어둠속의 댄서에 이어 나를 울린 라스 폰 트리에의 작품	1
8727762	1편보다 더 진화했다 ㅋ 더 재밌음	1
534324	몇번을 봐도 마음에 팍 꽂히는 영화.. 바로 그 영화. 벅시	1
2126150	연기란게 바로 이런 것! 노튼의 연기 물올랐다~	1
4171455	다시 보고싶은 영화.	1
9316399	영상미,등장인물다 좋았다.레이첼 연기는 잘하는데 악역은 안어울리는 듯 ㅋ	1
9693074	하... 여운이 남는다	1
7520543	시리즈 중에 젤 좋댜.. 흐흣^^	1
2842690	나이먹고 이런영화를 즐겁게 보지는 못하리라 생각했는데, 좋았다.	1
10115455	감동ㅠㅠㅠ개들 불쌍하네요	1
6158239	적당히 액션코미디감동이어서 가족과 함께 보기에 딱 좋은 영화.	1
9974778	시사로 봤는데, 애들이 좋아했어요 ㅎㅎ 오늘 개봉이니, 극장가서 보시는거 추천해요~	1
